"","x"
"1","X"
"2","Date.of.surgery"
"3","First.Name"
"4","Last.Name"
"5","Eye"
"6","Age"
"7","DOB"
"8","Race"
"9","Sex"
"10","MI.."
"11","Diagnosis"
"12","Documented.Target.Refraction"
"13","Holladay.II.Target.chosen"
"14","IOL.Power"
"15","IOL.Model"
"16","Preop.Date"
"17","presph"
"18","precyl"
"19","M.axis"
"20","PreBCVA"
"21","preiop"
"22","prepachy"
"23","Axial.Length"
"24","Hor.W.t.W"
"25","Phakic.Lens.Thickness"
"26","Phakic.Anterior.Chamber.Depth"
"27","K1"
"28","K1a"
"29","K2"
"30","K2a"
"31","SK..0.no..1.yes..2.yes.w.MMC."
"32","X.Calc..Any.SK"
"33","Comments"
"34","X5mo.8....no.scheduled."
"35","uncorrected.va..udva..6"
"36","sph6"
"37","cyl6"
"38","M.axis.1"
"39","bcva6"
"40","iop6"
"41","pachy6"
"42","ecd6"
"43","Axial.Length.1"
"44","Anterior.Chamber.Depth"
"45","K1.1"
"46","K1a.1"
"47","K2.1"
"48","K2a.1"
"49","X.Calc..Achieved.SE.6"
"50","X.Calc..SE.Error"
"51","X.Calc..Change.in.Pachy..Preop.to.6."
"52","X9.14.mos....no.appt."
"53","uncorrected.va..udva..12"
"54","X12.mo.M.sph"
"55","M.cyl"
"56","M.axis.2"
"57","BCVA.12mo"
"58","IOP"
"59","Pachy.1.year"
"60","ECC1.year"
"61","Axial.Length.2"
"62","Anterior.Chamber.Depth.1"
"63","K1.2"
"64","K1a.2"
"65","K2.2"
"66","K2a.2"
"67","X.Calc..Achieved.SE.12"
"68","X.Calc..SE.Error.12"
"69","X.Calc..Change.in.Pachy..Preop.to.12."
"70","X.Calc..Followup...6.or.12"
"71","X.Calc..Followup...6.and.12"
"72","X.Calc..Preop.SE.if.f.u...6...12"
"73","X.Calc..6.mo.SE.if.f.u...6...12"
"74","X.Calc..12.mo.SE.if.f.u...6...12"
"75","X.Calc..Length.of.Followup..days."
"76","X.Calc..Length.of.followup..months."
"77","X.Calc..Difference.6.mo.to.1.year.Achieved.SE"
"78","X.Calc..6.month.avg.K...preop.avg.K"
"79","X.Calc..12.month.avg.K...preop.avg.K"
"80","X.Calc..Last.avg.K...preop.avg.K"
"81","X.Calc..Preop.SE"
"82","X.Calc..Last..SE"
"83","X.Calc..Last.SE.Error"
"84","X.Calc..Last.Change.in.Pachy"
"85","X.Calc..Change.in.AL"
"86","X.Calc..Target.Refraction.if.SE.Error.known"
"87","X.Calc..Change.in.Last.CDVA"
"88","X.Calc..Last.Cyl"
"89","X.Calc..Change.in.Cyl"
"90","X.Calc..Last.CDVA"
"91","X.Calc..Preop.CDVA.if.Last.CDVA.Known"
"92","X.Calc..Last.UDVA...Distance.Eyes.Only"
"93","X.Calc..MISSING.PENTACAM.6.mo.DATA."
"94","X.Calc..MISSING.PENTACAM.12.mo.DATA."
"95","X.Calc..Missing.all.followup.pentacam.with.known.preop"
"96","Preop.Rh."
"97","Preop.Rv."
"98","Preop.Axis..flat.."
"99","Preop.Astig."
"100","Preop.Ecc."
"101","Preop.EccSph."
"102","Preop.C.Height.Endo.."
"103","Preop.C.Height.Epi.."
"104","Preop.Pachy.Apex."
"105","Preop.Pachy.Pupil."
"106","Preop.Pachy.Sup."
"107","Preop.Pachy.Inf."
"108","Preop.Pachy.Nas."
"109","Preop.Pachy.Tem."
"110","Preop.Pachy.Min."
"111","Preop.PachyMinX."
"112","Preop.PachyMinY."
"113","Preop.Sag3mm."
"114","Preop.Sag5mm."
"115","Preop.Sag7mm."
"116","Preop.Sag9mm."
"117","Preop.Sag11mm."
"118","Preop.Sag13mm."
"119","Preop.Sag15mm."
"120","Preop.KPD."
"121","Preop.Post.Sag3mm."
"122","Preop.Post.Sag5mm."
"123","Preop.Post.Sag7mm."
"124","Preop.Post.Sag9mm."
"125","Preop.Post.Sag11mm."
"126","Preop.Post.Sag13mm."
"127","Preop.Post.Sag15mm."
"128","Preop.Post.KPD."
"129","Preop.K1.F..D.."
"130","Preop.K2.F..D.."
"131","Preop.Km.F..mm.."
"132","Preop.Axis.F..flat.."
"133","Preop.Astig.F..D.."
"134","Preop.K1.B..D.."
"135","Preop.K2.B..D.."
"136","Preop.Km.B..mm.."
"137","Preop.Axis.B..flat.."
"138","Preop.Astig.B..D.."
"139","Preop.C.Vol.D.3mm."
"140","Preop.C.Vol.D.5mm."
"141","Preop.C.Vol.D.7mm."
"142","Preop.C.Vol.D.10mm."
"143","Preop.ISV..Index.Surface.Variance."
"144","X6mo.Rh."
"145","X6mo.Rv."
"146","X6mo.Axis..flat.."
"147","X6mo.Astig."
"148","X6mo.Ecc."
"149","X6mo.EccSph."
"150","X6mo.C.Height.Endo.."
"151","X6mo.C.Height.Epi.."
"152","X6mo.Pachy.Apex."
"153","X6mo.Pachy.Pupil."
"154","X6mo.Pachy.Sup."
"155","X6mo.Pachy.Inf."
"156","X6mo.Pachy.Nas."
"157","X6mo.Pachy.Tem."
"158","X6mo.Pachy.Min."
"159","X6mo.PachyMinX."
"160","X6mo.PachyMinY."
"161","X6mo.Sag3mm."
"162","X6mo.Sag5mm."
"163","X6mo.Sag7mm."
"164","X6mo.Sag9mm."
"165","X6mo.Sag11mm."
"166","X6mo.Sag13mm."
"167","X6mo.Sag15mm."
"168","X6mo.KPD."
"169","X6mo.Post.Sag3mm."
"170","X6mo.Post.Sag5mm."
"171","X6mo.Post.Sag7mm."
"172","X6mo.Post.Sag9mm."
"173","X6mo.Post.Sag11mm."
"174","X6mo.Post.Sag13mm."
"175","X6mo.Post.Sag15mm."
"176","X6mo.Post.KPD."
"177","X6.mo.K1.F..D.."
"178","X6.mo.K2.F..D.."
"179","X6.mo.Km.F..mm.."
"180","X6.mo.Axis.F..flat.."
"181","X6.mo.Astig.F..D.."
"182","X6.mo.K1.B..D.."
"183","X6.mo.K2.B..D.."
"184","X6.mo.Km.B..mm.."
"185","X6.mo.Axis.B..flat.."
"186","X6.mo.Astig.B..D.."
"187","X6.mo.C.Vol.D.3mm."
"188","X6.mo.C.Vol.D.5mm."
"189","X6.mo.C.Vol.D.7mm."
"190","X6.mo.C.Vol.D.10mm."
"191","X6.mo.ISV..Index.Surface.Variance."
"192","X12mo.Rh."
"193","X12mo.Rv."
"194","X12mo.Axis..flat.."
"195","X12mo.Astig."
"196","X12mo.Ecc."
"197","X12mo.EccSph."
"198","X12mo.C.Height.Endo.."
"199","X12mo.C.Height.Epi.."
"200","X12mo.Pachy.Apex."
"201","X12mo.Pachy.Pupil."
"202","X12mo.Pachy.Sup."
"203","X12mo.Pachy.Inf."
"204","X12mo.Pachy.Nas."
"205","X12mo.Pachy.Tem."
"206","X12mo.Pachy.Min."
"207","X12mo.PachyMinX."
"208","X12mo.PachyMinY."
"209","X12mo.Sag3mm."
"210","X12mo.Sag5mm."
"211","X12mo.Sag7mm."
"212","X12mo.Sag9mm."
"213","X12mo.Sag11mm."
"214","X12mo.Sag13mm."
"215","X12mo.Sag15mm."
"216","X12mo.KPD."
"217","X12mo.Post.Sag3mm."
"218","X12mo.Post.Sag5mm."
"219","X12mo.Post.Sag7mm."
"220","X12mo.Post.Sag9mm."
"221","X12mo.Post.Sag11mm."
"222","X12mo.Post.Sag13mm."
"223","X12mo.Post.Sag15mm."
"224","X12mo.Post.KPD."
"225","X12.mo.K1.F..D.."
"226","X12.mo.K2.F..D.."
"227","X12.mo.Km.F..mm.."
"228","X12.mo.Axis.F..flat.."
"229","X12.mo.Astig.F..D.."
"230","X12.mo.K1.B..D.."
"231","X12.mo.K2.B..D.."
"232","X12.mo.Km.B..mm.."
"233","X12.mo.Axis.B..flat.."
"234","X12.mo.Astig.B..D.."
"235","X12.mo.C.Vol.D.3mm."
"236","X12.mo.C.Vol.D.5mm."
"237","X12.mo.C.Vol.D.7mm."
"238","X12.mo.C.Vol.D.10mm."
"239","X12.mo.ISV..Index.Surface.Variance."
"240","X.Calc...Last.Rh."
"241","X.Calc...Last.Rv."
"242","X.Calc...Last.Axis..flat.."
"243","X.Calc...Last.Astig."
"244","X.Calc...Last.Ecc."
"245","X.Calc...Last.EccSph."
"246","X.Calc...Last.C.Height.Endo.."
"247","X.Calc...Last.C.Height.Epi.."
"248","X.Calc...Last.Pachy.Apex."
"249","X.Calc...Last.Pachy.Pupil."
"250","X.Calc...Last.Pachy.Sup."
"251","X.Calc...Last.Pachy.Inf."
"252","X.Calc...Last.Pachy.Nas."
"253","X.Calc...Last.Pachy.Tem."
"254","X.Calc...Last.Pachy.Min."
"255","X.Calc...Last.PachyMinX."
"256","X.Calc...Last.PachyMinY."
"257","X.Calc...Last.Sag3mm."
"258","X.Calc...Last.Sag5mm."
"259","X.Calc...Last.Sag7mm."
"260","X.Calc...Last.Sag9mm."
"261","X.Calc...Last.Sag11mm."
"262","X.Calc...Last.Sag13mm."
"263","X.Calc...Last.Sag15mm."
"264","X.Calc...Last.KPD."
"265","X.Calc...Last.Post.Sag3mm."
"266","X.Calc...Last.Post.Sag5mm."
"267","X.Calc...Last.Post.Sag7mm."
"268","X.Calc...Last.Post.Sag9mm."
"269","X.Calc...Last.Post.Sag11mm."
"270","X.Calc...Last.Post.Sag13mm."
"271","X.Calc...Last.Post.Sag15mm."
"272","X.Calc...Last.Post.KPD."
"273","X.Calc...Last.K1.F..D.."
"274","X.Calc...Last.K2.F..D.."
"275","X.Calc...Last.Km.F..mm.."
"276","X.Calc...Last.Axis.F..flat.."
"277","X.Calc...Last.Astig.F..D.."
"278","X.Calc...Last.K1.B..D.."
"279","X.Calc...Last.K2.B..D.."
"280","X.Calc...Last.Km.B..mm.."
"281","X.Calc...Last.Axis.B..flat.."
"282","X.Calc...Last.Astig.B..D.."
"283","X.Calc...Last.C.Vol.D.3mm."
"284","X.Calc...Last.C.Vol.D.5mm."
"285","X.Calc...Last.C.Vol.D.7mm."
"286","X.Calc...Last.C.Vol.D.10mm."
"287","X.Calc...Last.ISV..Index.Surface.Variance."
"288","X.Calc...Delta.Last.Rh."
"289","X.Calc...Delta.Last.Rv."
"290","X.Calc...Delta.Last.Axis..flat.."
"291","X.Calc...Delta.Last.Astig."
"292","X.Calc...Delta.Last.Ecc."
"293","X.Calc...Delta.Last.EccSph."
"294","X.Calc...Delta.Last.C.Height.Endo.."
"295","X.Calc...Delta.Last.C.Height.Epi.."
"296","X.Calc...Delta.Last.Pachy.Apex."
"297","X.Calc...Delta.Last.Pachy.Pupil."
"298","X.Calc...Delta.Last.Pachy.Sup."
"299","X.Calc...Delta.Last.Pachy.Inf."
"300","X.Calc...Delta.Last.Pachy.Nas."
"301","X.Calc...Delta.Last.Pachy.Tem."
"302","X.Calc...Delta.Last.Pachy.Min."
"303","X.Calc...Delta.Last.PachyMinX."
"304","X.Calc...Delta.Last.PachyMinY."
"305","X.Calc...Delta.Last.Sag3mm."
"306","X.Calc...Delta.Last.Sag5mm."
"307","X.Calc...Delta.Last.Sag7mm."
"308","X.Calc...Delta.Last.Sag9mm."
"309","X.Calc...Delta.Last.Sag11mm."
"310","X.Calc...Delta.Last.Sag13mm."
"311","X.Calc...Delta.Last.Sag15mm."
"312","X.Calc...Delta.Last.KPD."
"313","X.Calc...Delta.Last.Post.Sag3mm."
"314","X.Calc...Delta.Last.Post.Sag5mm."
"315","X.Calc...Delta.Last.Post.Sag7mm."
"316","X.Calc...Delta.Last.Post.Sag9mm."
"317","X.Calc...Delta.Last.Post.Sag11mm."
"318","X.Calc...Delta.Last.Post.Sag13mm."
"319","X.Calc...Delta.Last.Post.Sag15mm."
"320","X.Calc...Delta.Last.Post.KPD."
"321","X.Calc...Delta.K1.F..D.."
"322","X.Calc...Delta.K2.F..D.."
"323","X.Calc...Delta.Km.F..mm.."
"324","X.Calc...Delta.Axis.F..flat.."
"325","X.Calc...Delta.Astig.F..D.."
"326","X.Calc...Delta.K1.B..D.."
"327","X.Calc...Delta.K2.B..D.."
"328","X.Calc...Delta.Km.B..mm.."
"329","X.Calc...Delta.Axis.B..flat.."
"330","X.Calc...Delta.Astig.B..D.."
"331","X.Calc...Delta.C.Vol.D.3mm."
"332","X.Calc...Delta.C.Vol.D.5mm."
"333","X.Calc...Delta.C.Vol.D.7mm."
"334","X.Calc...Delta.C.Vol.D.10mm."
"335","X.Calc...Delta.ISV..Index.Surface.Variance."
"336","X.Calc...6.vs.12.m.K1.F"
"337","X.Calc...6.vs.12.m.K2.F"
"338","X.Calc...6.vs.12.m.K1.B"
"339","X.Calc...6.vs.12.m.K2.B"
